# Episode 1
un genio; a genius
fuiste a casa; you went home
ella fue camarera; she was a waitress
ella fue al restaurante; she went to the restaurant
fuimos nosotros; it was us
fuimos a las montañas; we went to the mountains
sus llantos fueron terribles; her cries were terrible
ellos fueron a la biblioteca; they went to the library
estuviste cansada; you were tired
él estuvo aquí; he was here
estuvimos en pie; we stood
estuvieron de acuerdo con él; they agreed (were in agreement) with him
yo te hago café por la mañana; I make you coffee in the morning
que haces; what are you doing
ella hace un pastel; she is making a cake
hacemos las botas con otra cosa; let's make the boots with something else
las cosas que me hacen feliz; the things that make me happy
vengo de América; I come from America
yo voy a tu país, tu vienes al mío; I go to your country, you come to mine.
la semana que viene; next week (the week that's coming)
nosotros siempre venimos aquí; we always come here
ustedes vienen con nosotros?; are you all coming with us?
te doy las gracias; i give you my thanks
te das por completo; you give yourself completely
me da mielo estar solo; it scares me to be alone
damos las gracias por esta comida; we give thanks for this meal
nos dan un hora para comer; they give us one hour to eat
hace mucho tiempo que no te veo; I haven't seen you in a long time
te ves tan contento; you look so happy
esa chaqueta se ve demasiado grande para ti; that jacket looks too big for you
a que hora nos vemos?; what time will we meet (see each other)?
ellos ven que estoy trabajando; they see that I am working
lo hice para ti; I did it for you
qué hiciste ayer?; what did you do yesterday?
mi mamá hizo un ponche escpecial; my mom made a special punch
hicimos un trato; we made a deal
ellos nos hicieron sentier como en casa; they made us feel at home
vine a la casa para comer; I came home to eat
viniste sola?; did you (f) come alone?
mi hermano vino desde Dallas la semana pasada; my brother came from Dallas last week
vinimos poco después; we came shortly after
cuántas personas vinieron a la fiesta?; how many people came to the party?
le di los cinco dólares; I gave him the five dollars
el primer beso que me diste; the first kiss you gave me
mi novia me dio la flores a mí; my girlfriend gave the flowers to me
a ella le dimos las flores; we have her the flowers
mis papás me dieron un viaje a Europa; my parents gave me a trip to europe
lo vi hacer trampa con mis propios ojos; I saw him cheating with my own eyes
ya viste esta película?; have you already seen this movie?
hace poco que mi madre vio a tu hermano; my mother saw your brother recently
hoy vimos un gato; today we saw a cat
se vieron para un café; they met (saw each other) for coffee
tener calor; to be hot
tener frío; to be cold
tener hambre; to be hungry
tener sed; to be thirsty
tener dolor de..; to have a ... ache
tener sueño; to be tired
tener celos; to be jealous
tener confianza; to be confident
tener cuidado; to be careful
tener ganas de hacer algo; to feel like doing something
tener miedo; to be scared
tener prisa; to be in a rush
tener vergüenza; to be embarrassed
tener la culpa;	to have blame (to be guilty)
tener en cuenta; to take into account
tener éxito; to be successful
tener razón; to be right
no tener razón; to be wrong
tener suerte; to be lucky 
me quedé en silencio; I stayed silent
no me comprendes; you are not understanding me
alguna vez viste un flamenco verde?; have you ever seen a green flamingo?
estoy aún confundido; I am still confused
a primera vista; at first glance
no tocado por el hombre; untouched by man
mi mente se fue por un instante; my mind got away for an instant
Luciana se rió; Luciana laughed
tuve que pensar rápido; I had to think fast
suena familiar...; sounds familiar...
no la recuerdas?; you don't remember?

# Other
barriga llena, corazón contento; full belly, happy heart
Carmen va de compras mañana; Carmen is going shopping tomorrow
ir de compras; to go shopping
emocionado/a; excited
enojado/a; angry
estoy feliz de verte; I'm happy to see you
a menudo; often
ese sombrero; that hat
estoy en el probador; I'm in the fitting room
qué talla necesitas?; what size do you need?
me puedo probar esto?; can I try this on?
la camisa cuesta diez dólares; the shirt costs ten dollars
cuánto cuestan estos zapatos?; how much do these shoes cost?
cuántos dólares necesitas?; how many dollars do you need?
pagar en efectivo; to pay in cash
la panza; the belly
